Date,Opportunity Name,Account Name,City,State,LEED Certification Target,Building Type - Concatenated,Building Type - Primary,Building Type - Secondary,Brief Description,LEED Certification Level,Industry / Sector - Concatenated,Industry / Sector - Primary,Industry / Sector - Secondary,Service Category (New),Region Where Located - Primary,Region Where Located - Secondary
201-08-11 09:33:00,Health Professions Campus Building 1,Pacific University,Hillsboro,OR,LEED Gold,Higher Education|Healthcare,Higher Education,Healthcare,"Pacific University's Health Professions campus provides state-of-the-art classrooms for Physical Therapy, Occupational Therapy, Physician Assistant Studies, Dental Health Science, and Pharmacy, as well as new spaces for optometry and psychology clinics.",LEED Gold,Higher Education|Healthcare & Social Services,Higher Education,Healthcare & Social Services,LEED Services,US - Pacific Northwest,
201-08-11 09:33:00,Victory Center Health-Tech Hub,NAI Daus,Cleveland,OH,LEED Certified,Offices|Laboratories,Offices,Laboratories,"Over its long history, the historic Victory Center in Cleveland's Health-Tech Corridor has housed everything from a car dealership to an artists' colony. After this renovation, it will provide state-of-the-art research and lab space.",Not yet certified,Healthcare & Social Services|Technology,Healthcare & Social Services,Technology,LEED Services,US - Midwest,
201-08-11 09:33:00,SLAC National Accelerator Laboratory SIMES Lab Renovation,Stanford University,Palo Alto,CA,LEED Silver,Higher Education|Laboratories,Higher Education,Laboratories,"Operated by Stanford University, this new LEED Gold laboratory serves the Stanford Institute for Materials & Energy Sciences at the U.S. Department of Energy's SLAC National Accelerator Laboratory in Menlo Park, California.",LEED Gold,Research,Research,,LEED Services,US - Northern California,
201-08-11 09:33:00,Distribution Center,Yanbal Cosmetics,Bogota,International,LEED Gold,Industrial,Industrial,,"On the model of Avon Cosmetics, Yanbal produces and distributes cosmetics and jewelry through a network of Latin American women entrepreneurs. Brightworks helped Yanbal select sustainable operations strategies that earned LEED EB:O&M Gold certification.",LEED Gold,Manufacturing,Manufacturing,,LEED Services,International - All Regions,
201-08-11 09:33:00,625 Division Apartments,Gerding Edlen Development,Chicago,IL,LEED Gold,Multifamily Residential,Multifamily Residential,,"On land that was once part of the notorious Cabrini-Green public housing complex, this 18-story tower in Chicago's Old Town neighborhood will represent Gerding Edlen's second development in Chicago, part of the city's urban housing boom.",Not yet certified,Real Estate Development,Real Estate Development,,LEED Services,US - Midwest,
201-08-11 09:33:00,Buyer Furnished Equipment Warehouse,Boeing,Renton,WA,N/A,Industrial,Industrial,,"One of six major facilities for which Brightworks has served Boeing, this warehouse and office houses Boeing's Buyer-Furnished Equipment program, which allows aircraft buyers to install their own systems and features at the jet assembly site.",N/A,Aviation|Warehousing & Distribution,Aviation,Warehousing & Distribution,LEED Services,US - Pacific Northwest,
201-08-11 09:33:00,Corporate Headquarters,Bancolombia,Medellin,International,LEED Gold,Headquarters|Offices,Headquarters,Offices,"One of several projects in Brightworks' growing global practice, this 1.5-million-square-foot corporate headquarters for Colombia's largest commercial bank is the first LEED EB:O&M certified building in Colombia and only the fourth in Latin America.",LEED Gold,Banking & Financial Services,Banking & Financial Services,,LEED Services,International - All Regions,
201-08-11 09:33:00,Innovation Center and Manufacturing Complex,Nu Skin,Provo,UT,LEED Gold,Offices|Industrial,Offices,Industrial,"Nu Skin's $70-million, 168,000-square-foot innovation center and manufacturing complex contains merchandising, offices, laboratories, retail, restaurant/cafeteria, and data center spaces.",Not yet certified,Manufacturing,Manufacturing,,LEED Services,US - Pacific Northwest,
201-08-11 09:33:00,Breakpoint Distribution Facility,Corporate Express,Portland,OR,LEED Gold,Industrial|Interiors,Industrial,Interiors,"Now occupied by ThyssenKrupp, Corporate Express originally completed the LEED certified renovation to this distribution facility, which saves 32,000 gallons of water per year.",LEED Gold,Warehousing & Distribution,Warehousing & Distribution,,LEED Services,US - Pacific Northwest,
201-08-11 09:33:00,Madera County Courthouse,California Courts (AOC),Madera,CA,LEED Silver,Government,Government,,"No security, overcrowding, out-of-date facilities, and poor access to court services will be corrected in this striking and sustainable new courthouse for Madera County south of Yellowstone National Park.",Not yet certified,Government,Government,,LEED Services,US - Southern California,
201-08-11 09:33:00,Nature Education Facility,Autry National Center,Los Angeles,CA,LEED Certified,Cultural & Public Service|Interiors,Cultural & Public Service,Interiors,"New galleries and outdoor garden will honor and educate visitors about the indigenous peoples of California, their relationship to the natural environment, and key resource stewardship practices they have used to sustain their cultures.",Not yet certified,Arts & Entertainment|N/A,Arts & Entertainment,N/A,LEED Services,US - Southern California,
201-08-11 09:33:00,5th and Madison Condominiums,Kennedy Wilson (Seattle),Seattle,WA,LEED Gold,Multifamily Residential|Retail & Restaurants,Multifamily Residential,Retail & Restaurants,"Named one of Natural Home Magazine's Best Green Condos in America, the 5th and Madison Condominiums adjacent to the new Seattle Central Library reduced domestic water use by over 30%, modeled energy use by 27%, and construction waste by 75%.",LEED Gold,Real Estate Development,Real Estate Development,,LEED Services,US - Pacific Northwest,
201-08-11 09:33:00,Office Building 2,Intuitive Surgical,Sunnyvale,CA,LEED Gold,Offices|Healthcare,Offices,Healthcare,"Makers of the innovative Da Vinci robotic surgical system, Intuitive Surgical is building a new headquarters facility to accommodate its rapid growth. Brightworks is managing the LEED certification of both buildings on the new campus.",Not yet certified,Manufacturing,Manufacturing,,LEED Services; Reporting & Regulatory Compliance,US - Northern California,
201-08-11 09:33:00,Lawrence Station Apartments,BRE Properties,Sunnyvale,CA,LEED Certified,Multifamily Residential,Multifamily Residential,,"Low-flow fixtures, dual-flush toilets, native landscaping, Energy Star products, photocells, occupancy sensors, low-VOC compounds, and 95 percent construction waste recycling demonstrate the sustainability commitment in this 336-unit residential complex.",LEED Silver,Real Estate Development,Real Estate Development,,LEED Services,US - Northern California,
201-08-11 09:33:00,Existing Buildings Education Program,City of Los Angeles Department of General Services,Los Angeles,CA,N/A,Government,Government,,"Los Angeles operates over 900 buildings. Before conducting a LEED EB:O&M feasibility assessment of its portfolio, the city retained Brightworks to deliver a training program for city facilities staff, helping them understand the LEED EB:O&M program.",N/A,Government,Government,,LEED Services; Workshops & Professional Education,US - Southern California,
201-08-11 09:33:00,Division 3 Maintenance Facility Annex,Los Angeles County Metropolitan Transit Authority (MTA),Los Angeles,CA,LEED Certified,Government|Industrial,Government,Industrial,"Los Angeles County only required this maintenance facility to achieve basic LEED certification. But with the LEED strategy developed by Brightworks, the project achieved LEED Gold certification at low marginal cost with high environmental benefit.",LEED Gold,Government|Transportation,Government,Transportation,LEED Services,US - Southern California,
201-08-11 09:33:00,The Encore Condominiums,Hoyt Street Properties,Portland,OR,LEED Silver,Multifamily Residential,Multifamily Residential,,"Located within a Platinum certified LEED for Neighborhood Development, The Encore condominiums offer residents high indoor environmental quality, healthy and sustainable materials, ample light, and views. It reduces energy costs $32,000 annually.",LEED Silver,Real Estate Development,Real Estate Development,,LEED Services,US - Pacific Northwest,
201-08-11 09:33:00,EMP (Experience Music Project) Launchpad (Administrative Offices),Vulcan Inc.,Seattle,WA,LEED Gold,Cultural & Public Service|Industrial|Offices,Cultural & Public Service,Offices,"Located in Seattle's 2030 District and successfully LEED Platinum certified, this new building provides offices and staging space for the creative, facilities, operations, and administrative staff of the Experience Music Project (EMP).",LEED Platinum,Arts & Entertainment,Arts & Entertainment,,LEED Services; Advanced Green Buildings,US - Pacific Northwest,
201-08-11 09:33:00,Bellevue Office (08-33),Boeing,Bellevue,WA,LEED Gold,Offices,Offices,,"Located at the Boeing Bellevue campus, this 4-story, 108,000-square-foot building is undergoing substantial renovations to prepare it or the next generation of Boeing business operations.",Not yet certified,Manufacturing|Aviation,Manufacturing,Aviation,LEED Services,US - Pacific Northwest,
201-08-11 09:33:00,Seaver College Life Sciences Center,Loyola Marymount University (LMU),Los Angeles,CA,LEED Silver,Higher Education|Laboratories,Higher Education,Laboratories,"LMU's new LEED and Labs21 certified Seaver Life Sciences Center will provide the university's Biology, Chemistry, and Natural Sciences departments with state-of-the-art classrooms, teaching and research labs, social spaces, and an auditorium.",Not yet certified,Higher Education|Biotechnology & Life Sciences,Higher Education,Biotechnology & Life Sciences,LEED Services,US - Southern California,
201-08-11 09:33:00,Office Renovation,Northwest Energy Efficiency Alliance (NEEA),Portland,OR,LEED Platinum,Offices|Interiors,Offices,Interiors,"Leveraging regional partnerships to accelerate the adoption of energy-efficient products, services, and practices, NEEA achieved LEED Platinum certification for its Portland headquarters, located in Pietro Belluschi's iconic Commonwealth Building.",LEED Platinum,Energy,Energy,,LEED Services; Advanced Green Buildings,US - Pacific Northwest,
201-08-11 09:33:00,Nebraska Data Center LEED Energy Credit Strategy,Fidelity,Papillon,NE,N/A,Data Centers,Data Centers,,"Leveraging its specialized expertise in data centers, Brightworks is helping Fidelity and its design team achieve the highest possible number of LEED energy points in the innovative design of its new Nebraska data center.",N/A,Banking & Financial Services,Banking & Financial Services,,"LEED Services; Other Green Building; Energy, Waste, & Water",US - Midwest,US - Northeast
201-08-11 09:33:00,Corporate Campus Office Building 2B,Juniper Networks,Sunnyvale,CA,LEED Gold,Headquarters|Offices,Headquarters,Offices,"LEED Platinum Certified and net zero energy capable, this new building on Juniper Networks' corporate campus features photovoltaics and the breakthrough Bloom Box, a solid oxide fuel cell technology.",LEED Platinum,Technology,Technology,,LEED Services; Advanced Green Buildings,US - Northern California,
201-08-11 09:33:00,Accountability and Restitution Center Work Release Facility,Thurston County,Tumwater,WA,LEED Silver,Government,Government,,"LEED certification for this medium security work-release facility will reduce Thurston County's operating costs and environmental footprint over the long projected lifetime of this facility, helping county administration better steward public resources.",Not yet certified,Government,Government,,LEED Services,US - Pacific Northwest,
201-08-11 09:33:00,Corporate Offices (Moffett Towers Building 1120),Lab126,Sunnyvale,CA,LEED Gold,Offices|Interiors,Offices,Interiors,"Lab126 developed the Kindle tablet for Amazon. To accommodate its growth and change as an organization, it is now building this corporate headquarters in Sunnyvale's Moffett Towers, as well as a new product development lab.",Not yet certified,Technology,Technology,,LEED Services,US - Northern California,
201-08-11 09:33:00,New Oakland Offices,Degenkolb Engineers,Oakland,CA,LEED Gold,Offices|Interiors,Offices,Interiors,"Key sustainability objectives for this new office of the nation's oldest and largest earthquake engineering firm included reuse of building infrastructure, maximized daylighting, maximized views, and an open floor plan to promote collaboration.",LEED Gold,Professional Services,Professional Services,,LEED Services,US - Northern California,
201-08-11 09:33:00,Office Building 1,Intuitive Surgical,Sunnyvale,CA,LEED Gold,Offices,Offices,,"Intuitive Surgical designs and builds the da Vinci Surgical System, a platform for robotically-assisted, minimally-invasive surgery. The first building of its new 7.9-acre headquarters campus is pursuing LEED certification and CALGreen compliance.",Not yet certified,Manufacturing,Manufacturing,,LEED Services; Reporting & Regulatory Compliance,US - Northern California,
201-08-11 09:33:00,Science Research and Teaching Center,Portland State University (PSU),Portland,OR,LEED Silver,Higher Education|Laboratories,Higher Education,Laboratories,"In this renovated facility, labs, classrooms, social spaces, meeting areas, and offices for a growing graduate population elevate the experience of students in Biology, Chemistry, Environmental Sciences, Physics, and other disciplines.",LEED Gold,Higher Education,Higher Education,,LEED Services,US - Pacific Northwest,
201-08-11 09:33:00,Stella Apartments in Marina Del Rey,JLG Partners,Los Angeles,CA,LEED Certified,Multifamily Residential,Multifamily Residential,,"In this new, 500,000-square-foot Marina Del Ray apartment complex, efficient fixtures save over three million gallons of water per year, helping address Southern California's severe water shortage.",LEED Certified,Real Estate Development,Real Estate Development,,LEED Services,US - Southern California,
201-08-11 09:33:00,Porterville Development Center New Main Kitchen,"Department of General Services, State of California",Porterville,CA,LEED Gold,Government|Healthcare,Government,Healthcare,"In this new, 30,000-square-foot central kitchen, meals will be prepared for the 400 residents of this care center for individuals with developmental disabilities. Brightworks is working to reduce the building's substantial energy load.",Not yet certified,Government|Food Processing & Grocery|Healthcare & Social Services,Government,Healthcare & Social Services,LEED Services,US - Pacific Northwest,
201-08-11 09:33:00,Biological Sciences Facility,Pacific Northwest National Laboratory (PNNL),Richland,WA,LEED Silver,Government|Laboratories,Government,Laboratories,"In this LEED Gold facility, which houses state-of-the-art analytical equipment and powerful computing capabilities, scientists gain advanced insight into the use of micro-organisms for renewable bioenergy and carbon sequestration.",LEED Gold,Government|Biotechnology & Life Sciences,Government,Biotechnology & Life Sciences,LEED Services,US - Pacific Northwest,
201-08-11 09:33:00,Corporate Headquarters,Bancolombia,Medellin,International,LEED Gold,Headquarters|Offices,Headquarters,Offices,"In this effort, Brightworks assessed the technical and financial feasibility of certifying the new headquarters of Colombia's largest commercial bank under LEED for Existing Buildings: Operations & Maintenance (LEED EB:O&M).",N/A,Banking & Financial Services,Banking & Financial Services,,LEED Services,International - All Regions,
201-08-11 09:33:00,Beverly Hills Office,Google,Beverly Hills,CA,LEED Gold,Offices|Interiors,Offices,Interiors,"In this 11,000-square-foot office, Google is developing Google TV, an open software platform combining television and internet. For Google, sustainability is one platform in a workplace philosophy that emphasizes innovation, functionality, and dynamism.",LEED Gold,Technology,Technology,,LEED Services,US - Southern California,
201-08-11 09:33:00,Forest City Data Center,Facebook,Forest City,NC,LEED Gold,Data Centers|Offices,Data Centers,Offices,"In recognition of cloud computing's large environmental footprint, Facebook has set new precedents for energy efficient data centers, starting with its first enterprise data center, located in Oregon and named Best Green Project by Engineering News Record.",LEED Gold,Technology,Technology,,LEED Services,US - Other Regions,
201-08-11 09:33:00,Multi-Family Building Energy Efficiency Assessments,Ecova,Various,OR,N/A,Multifamily Residential,Multifamily Residential,,"In partnership with Solarc, Brightworks conducted walk-throughs of 40 multi-family residential properties in Oregon and Washington. The audits produced data for a residential market assessment presented to the Northwest Energy Efficiency Alliance (NEEA).",N/A,"Real Estate Management, Operations & Maintenance","Real Estate Management, Operations & Maintenance",,"Other Green Building; Energy, Waste, & Water",US - Pacific Northwest,
201-08-11 09:33:00,Office Renovation,Elemental Technologies,Portland,OR,LEED Silver,Offices|Interiors,Offices,Interiors,"In order to secure a low-interest loan from the Portland Development Commission, the owner of this downtown Portland office building looked to Brightworks to manage the LEED program for tenant Elemental Technologies.",LEED Gold,Technology,Technology,,LEED Services,US - Pacific Northwest,
201-08-11 09:33:00,Fire Station 810,City of Vancouver,Vancouver,WA,LEED Certified,Public Safety & Emergency Services|Government,Public Safety & Emergency Services,Government,"In operation 24 hours per day, this fire station uses zone-specific heating, cooling, and lighting controls. Measures ensuring high indoor environmental quality create healthy conditions for firefighters needing to maintain peak physical readiness.",LEED Silver,Government,Government,,LEED Services,US - Pacific Northwest,
201-08-11 09:33:00,Middlefield Crossing Corporate R&D Center,Orchard Partners,Mountain View,CA,N/A,Offices,Offices,,"In its effort to attract new tenants, the owner of this building retained Brightworks to conduct a feasibility assessment of the property's certification potential under LEED's Core & Shell rating system. The property now houses Zynga and Siemens offices.",N/A,Real Estate Development|Technology,Real Estate Development,Technology,LEED Services,US - Northern California,
201-08-11 09:33:00,Innerbelt Bridge Invest Certification,Ohio Department of Transportation,Cleveland,OH,N/A,Transportation & Parking,Transportation & Parking,,"Infamous in environmental history for erupting in flames, today the Cuyahoga River boasts an innovation in sustainability: this new bridge, seeking certification under the Federal Highway Administration's new INVEST sustainability rating system.",N/A,Transportation,Transportation,,Planning & Infrastructure,US - Midwest,
201-08-11 09:33:00,Uptown Apartments,MRN,Cleveland,OH,LEED Silver,Multifamily Residential,Multifamily Residential,,"In Cleveland's vibrant Uptown neighborhood close to Case Western Reserve University and art museums, this luxury apartment development offers modern luxury living in one- and two-bedroom apartments.",Not yet certified,Real Estate Development,Real Estate Development,,LEED Services,US - Midwest,
201-08-11 09:33:00,Burchfield Penney Art Center,Buffalo State College,Buffalo,NY,LEED Certified,Higher Education|Cultural & Public Service,Higher Education,Cultural & Public Service,"In a state with an abundance of art museums, the Burchfield Penney Art Center is the first to be LEED certified. On the campus of Buffalo State College, it is named in honor of Charles Burchfield, a noted artist from upstate New York.",LEED Silver,Higher Education|Arts & Entertainment,Higher Education,Arts & Entertainment,LEED Services,US - Northeast,
201-08-11 09:33:00,The Civic Condominiums and Apartments,Gerding Edlen Development,Portland,OR,LEED Gold,Multifamily Residential|Retail & Restaurants,Multifamily Residential,Retail & Restaurants,"In a market with adequate options for luxury living, the LEED Gold Civic Condominiums and Apartments provide urban workforce and affordable housing in two buildings joined by a mixed-use plaza. The building saves nearly $70,000 in energy costs annually.",LEED Gold,Real Estate Development,Real Estate Development,,LEED Services,US - Pacific Northwest,
201-08-11 09:33:00,Prineville Data Center Green Building Incentives Coordination,Facebook,Prineville,OR,N/A,Data Centers,Data Centers,,"In addition to serving as LEED program manager for Facebook's Oregon data center, Brightworks was also selected to represent Facebook in its application to the Energy Trust of Oregon for incentives reflecting Facebook's major energy efficiency programs.",N/A,Technology,Technology,,"Other Green Building; Energy, Waste, & Water",US - Pacific Northwest,
201-08-11 09:33:00,Los Angeles Office Tenant Improvement,Gerding Edlen Development,Los Angeles,CA,LEED Silver,Offices|Interiors,Offices,Interiors,"In addition to re-used wine barrels for paneling and salvaged loading dock timbers for flooring, this office also offers excellent public transportation options to employees of Gerding Edlen.",LEED Silver,Professional Services,Professional Services,,LEED Services,US - Southern California,
201-08-11 09:33:00,1 South Market Apartments LEED Contractor Services,Essex Property Trust,San Jose,CA,LEED Silver,Multifamily Residential,Multifamily Residential,,"In addition to prioritizing environmental performance strategies and managing tasks required to achieve LEED Gold certification, Brightworks is managing the contractor's LEED scope for this new, 23-story high-rise apartment in San Jose.",Not yet certified,Real Estate Development|Construction,Real Estate Development,Construction,LEED Services,US - Northern California,
201-08-11 09:33:00,Scion of Bend New Sales and Service Center,"Toddski, LLC",Bend,OR,LEED Gold,Retail & Restaurants|Transportation & Parking,Retail & Restaurants,Transportation & Parking,"In addition to $142,000 in green building incentives, Brightworks secured LEED Gold for this dealership in Central Oregon's high desert climate with a water conservation and re-use strategy that saves 877,000 gallons annually.",LEED Gold,Automotive|Retail,Automotive,Retail,"LEED Services; Energy, Waste, & Water",US - Pacific Northwest,
201-08-11 09:33:00,Andaz Maui at Wailea Resort & Villas,Hyatt,Maui,HI,LEED Silver,Hospitality,Hospitality,,"Hyatt reused an existing structure to create the inspired Andaz resort in Maui's luxury Wailea community. The new resort features over 300 sumptuous guest accommodations, specialty restaurants, cascading pools, a spa and fitness center, and meeting space.",Not yet certified,Hospitality,Hospitality,,LEED Services,US - Pacific Northwest,
201-08-11 09:33:00,Moffett Towers Offices (Buildings 1140 and 1180),HP,Sunnyvale,CA,LEED Silver,Offices|Interiors,Offices,Interiors,"HP is bringing café space, lab space, and offices to Sunnyvale's Moffett Towers development. Brightworks is managing the LEED CI Gold certification of this major build-out.",LEED Gold,Technology,Technology,,LEED Services,US - Northern California,
201-08-11 09:33:00,Applied Technical Classroom,Washington State University (WSU),Vancouver,WA,LEED Silver,Higher Education|Laboratories,Higher Education,Laboratories,"Housing laboratories, a clean room facility, classrooms, and office spaces for a new academic program in electrical engineering and an existing program in computer science, this sophisticated facility establishes a new science precinct for the WSU campus.",LEED Gold,Higher Education,Higher Education,,LEED Services,US - Pacific Northwest,
201-08-11 09:33:00,Taylor 28 Apartments,BRE Properties,Seattle,WA,LEED Certified,Multifamily Residential,Multifamily Residential,,"Housing knowledge workers in one of the world's tech capitals, the Taylor 28 apartments represent the vision of BRE Properties -- to provide highly desirable places to live and meet tenant expectations for healthy, sustainable, urban lifestyles.",LEED Silver,Real Estate Development,Real Estate Development,,LEED Services,US - Pacific Northwest,
201-08-11 09:33:00,Sutter County Educational Outreach Center,Yuba College,Yuba City,CA,LEED Gold,Higher Education,Higher Education,,"Housing classrooms, lecture halls, a library/learning resource center, student services, a career center, offices for faculty and administration, group study areas, and a café, this new complex serves rural Sutter County with an impressive upgrade.",Not yet certified,Higher Education,Higher Education,,LEED Services,US - Northern California,
201-08-11 09:33:00,World Trade Center,Portland General Electric (PGE),Portland,OR,LEED Gold,Offices|Hospitality,Offices,Hospitality,"Housing Class A office space, an energy operations center, and a large event venue, this three-building complex will soon boast LEED EB:O&M certification.",Not yet certified,Energy|Hospitality,Energy,Hospitality,LEED Services,US - Pacific Northwest,
201-08-11 09:33:00,Flying Heritage Collection Museum,Vulcan Inc.,Everett,WA,LEED Silver,Cultural & Public Service,Cultural & Public Service,,"Home to over 30 aircraft from World War II, the Flying Heritage Museum at Paine Field has added exhibit space, a museum shop, an interpretive theater, and support space for its growing collection in a new, LEED certified addition.",Not yet certified,Arts & Entertainment|Aviation,Arts & Entertainment,Aviation,LEED Services,US - Pacific Northwest,
201-08-11 09:33:00,East Portland Community Aquatics Center,Portland Parks & Recreation,Portland,OR,LEED Platinum,Sports & Recreation|Government,Sports & Recreation,Government,"Heat recovery to temper the pool, advanced water filtration, low-flow fixtures, and an 87-kilowatt photovoltaic array helped this City of Portland community center achieve LEED Platinum certification -- proof that small buildings can realize large savings.",LEED Platinum,"Sports, Recreation & Fitness|Government","Sports, Recreation & Fitness",Government,LEED Services; Advanced Green Buildings,US - Pacific Northwest,
201-08-11 09:33:00,Eugene City Hall LEED Contractor Support,City of Eugene,Eugene,OR,LEED Silver,Government,Government,,"Having served the community for over fifty years, Eugene City Hall is now receiving a signature renovation. While Eugene requires all new construction to achieve LEED Silver, the team is exploring the potential of achieving LEED Gold or Platinum.",Not yet certified,Government|Construction,Government,Construction,LEED Services,US - Pacific Northwest,
201-08-11 09:33:00,Product Development Labs (Moffett Towers Building 1100),Lab126,Sunnyvale,CA,LEED Gold,Offices|Laboratories|Interiors,Offices,Interiors,"Having developed the Kindle tablet for Amazon, Lab126 has recently enjoyed robust growth. To accommodate its needs for new, state-of-the-art space, the company is building this product development lab, as well as a new corporate headquarters.",Not yet certified,Technology,Technology,,LEED Services,US - Northern California,
201-08-11 09:33:00,Maintenance Facility for Environmental Restoration Disposal Center,U.S. Department of Energy Hanford Nuclear Site,Hanford,WA,N/A,Industrial|Government,Industrial,Government,"From this Hanford Nuclear Site facility, U.S. Department of Energy staff service and maintain a processing center for hazardous waste, including low-level radioactive waste. All part of the world's largest environmental clean-up effort.",N/A,Government|Energy,Government,Energy,LEED Services,US - Pacific Northwest,
201-08-11 09:33:00,"Drawing, Painting, and Photography Building",Oregon College of Art & Craft,Portland,OR,LEED Silver,Higher Education,Higher Education,,"Founded in 1907, the Oregon College of Art and Craft is now expanding its facilities as it enters its second century of creativity and learning. In addition to traditional media studios, this new facility also supports film and digital media production.",LEED Silver,Higher Education|Arts & Entertainment,Higher Education,Arts & Entertainment,LEED Services,US - Pacific Northwest,
201-08-11 09:33:00,Hedrick Hall Student Residence LEED Contractor Services,"University of California, Los Angeles (UCLA)",Los Angeles,CA,LEED Gold,Higher Education|Interiors|Multifamily Residential,Higher Education,Multifamily Residential,"For this UCLA student residence, Brightworks provided the general contractor with our LEED for Contractors service package, designed to make the LEED process simple, easy, and successful for busy construction teams.",LEED Gold,Higher Education|Construction,Higher Education,Construction,LEED Services,US - Southern California,
201-08-11 09:33:00,Corporate Headquarters,Marvell Technology Group,Santa Clara,CA,N/A,Headquarters|Laboratories|Offices,Headquarters,Offices,"For this semiconductor manufacturer, Brightworks evaluated the technical and financial feasibility of achieving LEED EB:O&M certification for this headquarters, office, and R&D lab facility.",N/A,Technology,Technology,,LEED Services,US - Northern California,
201-08-11 09:33:00,Bainbridge Island Store LEED Contractor Services,Town & Country Markets,Bainbridge Island,WA,LEED Silver,Retail & Restaurants,Retail & Restaurants,,"For this renovation to the Town & Country Markets flagship store on Bainbridge Island, Brightworks is supporting the general contractor and the design team in executing the LEED Silver certification program.",Not yet certified,Food Processing & Grocery|Retail,Food Processing & Grocery,Retail,LEED Services,US - Pacific Northwest,
201-08-11 09:33:00,Consolidated Rent-A-Car (ConRAC) Facility,Honolulu International Airport (HNL),Honolulu,HI,LEED Silver,Transportation & Parking,Transportation & Parking,,"For this new ConRAC facility, Brightworks supported Honolulu Airport in selecting sustainability strategies that would lower operating costs through energy efficiency and lower maintenance, increase staff productivity, and enhance the customer experience.",Not yet certified,Transportation,Transportation,,LEED Services,US - Hawaii,
201-08-11 09:33:00,Women's Medical Center,Portland Development Commission,Portland,OR,LEED Silver,Offices|Healthcare,Offices,Healthcare,"For this medical facility, the sustainable design program resulted in healthy patient spaces with low-VOC interior finishes, energy cost savings of $10,000 per year, and water conservation of over 30%.",LEED Silver,Healthcare & Social Services,Healthcare & Social Services,,LEED Services,US - Pacific Northwest,
201-08-11 09:33:00,Office Interior Renovation,WGS,Portland,OR,LEED Gold,Offices|Interiors,Offices,Interiors,"For this LEED Platinum renovation, Brightworks provided project management and technical review of the LEED prerequisites and credits in the Energy and Atmosphere (EA) and Indoor Environmental Quality (IEQ) categories.",LEED Platinum,Professional Services,Professional Services,,LEED Services; Advanced Green Buildings,US - Pacific Northwest,
201-08-11 09:33:00,East Mesa Detention Facility,County of San Diego,San Diego,CA,LEED Silver,Government,Government,,"For this five-building corrections complex, Brightworks exercised LEED's Master Site option to make the best use of San Diego county's financial resources. This secured a single approval for LEED credit strategies used in multiple buildings in the complex.",Not yet certified,Government,Government,,LEED Services,US - Pacific Northwest,
201-08-11 09:33:00,Corporate Sustainability Action Plan,gkkworks,Los Angeles,CA,N/A,N/A,N/A,,"For this architecture and construction management firm, Brightworks developed a corporate sustainability plan and implemented corporate development programs to give the client a decisive advantage in industries increasingly sensitive to ecological issues.",N/A,Professional Services,Professional Services,,Corporate Sustainability Programs; Workshops & Professional Education,US - Southern California,
201-08-11 09:33:00,ENERGY STAR Benchmarking (300 California),Kennedy Wilson,San Francisco,CA,N/A,Offices,Offices,,"For this 120,000-square-foot, downtown San Francisco office building, Brightworks provided ENERGY STAR benchmarking services, as well as LEED EB:O&M services.",N/A,"Real Estate Management, Operations & Maintenance","Real Estate Management, Operations & Maintenance",,"Other Green Building; Energy, Waste, & Water; Reporting & Regulatory Compliance",US - Northern California,
201-08-11 09:33:00,Orchard Parkway Office Building,BAE Systems,San Jose,CA,LEED Silver,Offices|Interiors,Offices,Interiors,"For the Silicon Valley office of this global aerospace contractor, Brightworks helped achieve LEED Silver certification through cost-neutral LEED strategies. The process also mobilized employees to implement a new composting program.",LEED Silver,Manufacturing,Manufacturing,,LEED Services,US - Northern California,
201-08-11 09:33:00,New South Waterfront Branch,Umpqua Bank,Portland,OR,LEED Certified,Retail & Restaurants|Interiors,Retail & Restaurants,Interiors,"For the first LEED certified branch of this progressive bank, Brightworks advised the design and construction team as it integrated LEED strategies during construction documents, ultimately achieving LEED Silver certification.",LEED Silver,Banking & Financial Services,Banking & Financial Services,,LEED Services,US - Pacific Northwest,
201-08-11 09:33:00,Energy Efficiency Incentives Documentation,Toyota of Bend,Bend,OR,N/A,Retail & Restaurants,Retail & Restaurants,,"For our clients, Brightworks has earned over $9 million in incentives from utilities and public agencies. This Central Oregon dealer of Toyota's Scion brand asked Brightworks to provide technical documentation for a successful incentive application.",N/A,Automotive|N/A,Automotive,N/A,"Energy, Waste, & Water",US - Pacific Northwest,
201-08-11 09:33:00,STARS Rating System Development,North American Sustainable Transportation Council,Portland,OR,N/A,Transportation & Parking,Transportation & Parking,,"For multi-modal transportation projects, this new sustainability rating system gives designers and engineers a decision-making tool to advance environmental stewardship practices. Brightworks managed part of the team developing the STARS rating system.",N/A,Transportation,Transportation,,Planning & Infrastructure,US - National,US - Pacific Northwest
201-08-11 09:33:00,Mountain View Office,Intuit,Mountain View,CA,N/A,Offices,Offices,,"For Intuit, Brightworks completed a LEED EB:O&M feasibility study to determine whether its office in the Silicon Valley community of Mountain View could achieve certification.",N/A,Technology,Technology,,LEED Services,US - Northern California,
201-08-11 09:33:00,Forest City Data Center Incentives Research and Coordination,Facebook,Forest City,NC,N/A,Data Centers,Data Centers,,"For Facebook's Forest City, North Carolina, data center, Brightworks is coordinating Facebook's application for incentives from Duke Energy for energy innovation and demand reduction.",N/A,Technology,Technology,,"Other Green Building; Energy, Waste, & Water",US - Other Regions,
